Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,HDD(GB),Processor_Category,Display_Tier,GPU_Tier,Processor_Speed(Ghz),SSD(GB)
HP,118923.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,4.0,512
Lenovo,127295.0,Intel,No,4,4,LED,Intel,1024,Intel I3,Small,Entry-level,2.5,0
Other,139965.0,Intel,Yes,8,4,LED,Intel,0,Intel I5,Small,Low-end,3.0,512
Lenovo,143465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
Lenovo,115244.5,Intel,No,8,4,LED,NVIDIA,1024,Intel I5,Small,Low-end,1.5,0
ASUS,168658.0,Intel,Yes,8,4,LED,Intel,0,Intel I5,Small,Entry-level,1.0,512
Other,180215.0,AMD,No,8,4,LED,AMD,0,AMD Ryzen 5,Small,Low-end,2.0,512
Acer,94496.5,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,256
Other,104965.0,Intel,Yes,8,LP4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,256
Lenovo,178465.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
Acer,97965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
HP,141925.0,Intel,Yes,8,4,LED,Intel,1024,Intel Pentium,Small,Entry-level,3.0,0
Lenovo,143465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
Lenovo,192465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,2.5,512
MSI,202996.5,Intel,No,8,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
HP,160615.0,Intel,Yes,8,4,LED,Intel,0,Intel I3,Small,Entry-level,3.5,512
Lenovo,185500.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,195965.0,Intel,No,8,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
HP,145215.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
Lenovo,185500.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
Lenovo,136465.0,AMD,Yes,16,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,2.0,512
Other,115465.0,Intel,No,8,LP4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,512
HP,132615.0,AMD,Yes,8,4,LED,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,256
HP,97965.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,256
Lenovo,121415.0,Intel,Yes,8,4,LED,Intel,0,Intel I3,Small,Entry-level,2.0,256
ASUS,216965.0,Intel,No,16,4,LED,Intel,0,Intel I5,Small,Low-end,4.0,512
Other,223916.0,Intel,No,16,4,LED,Intel,0,Intel I5,Small,Low-end,2.5,512
Dell,120746.5,Intel,Yes,8,4,LCD,Intel,1024,Intel I3,Small,Entry-level,4.0,256
HP,233086.0,AMD,No,16,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,2.5,512
HP,129846.5,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.5,512
HP,146996.5,AMD,No,8,4,LED,AMD,0,AMD Ryzen 5,Small,Low-end,2.0,512
Other,148722.0,AMD,No,8,4,LED,AMD,0,AMD Ryzen 5,Small,Low-end,2.0,512
HP,190715.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
Lenovo,113750.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,256
ASUS,108150.0,Intel,No,4,4,LED,Intel,0,Intel I3,Small,Entry-level,3.0,256
HP,213496.5,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.0,512
HP,138761.0,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,2.0,256
ASUS,132965.0,AMD,Yes,8,LP5,LED,AMD,0,AMD Ryzen 3,Small,Entry-level,4.0,512
Lenovo,143290.0,Intel,No,4,4,LED,Intel,1024,Intel I3,Small,Entry-level,2.0,0
ASUS,216646.5,AMD,Yes,16,4,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,4.0,512
Lenovo,164465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,3.5,512
ASUS,237965.0,AMD,No,16,4,LED,NVIDIA,0,AMD Ryzen 7,Large,Mid-end,3.0,512
HP,176046.5,Intel,Yes,8,4,LED,Intel,0,Intel I5,Small,Low-end,2.5,512
Lenovo,202965.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Low-end,3.5,512
