Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE(DDR),Ghz,Display_type,GPU_Brand,SSD(GB),HDD(GB),Display_Tier,GPU_Tier,Processor_Tier,Processor_Speed(Ghz)
Lenovo,88200.0,Intel,No,4,4,2.8,LED,Intel,256.0,0,Small,Entry-level,Low-End,3.0
Hp,192496.5,Intel,Yes,8,4,4.2,LCD,Intel,512.0,0,Small,Low-end,Other,4.0
Other,116865.0,Intel,No,8,4,1.0,LCD,Intel,512.0,0,Small,Entry-level,Other,1.0
Lenovo,252000.0,AMD,No,16,4,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Mid-End,3.5
Hp,176988.0,AMD,No,16,4,4.0,LCD,AMD,512.0,0,Small,Entry-level,Mid-End,4.0
Dell,125996.5,Intel,Yes,8,4,1.2,LED,Intel,256.0,1024,Large,Entry-level,Other,1.0
Dell,155225.0,Intel,No,8,4,1.2,LCD,Intel,256.0,1024,Large,Entry-level,Other,1.0
Lenovo,89215.0,Intel,Yes,8,4,2.8,LCD,Intel,256.0,0,Small,Entry-level,Low-End,3.0
Acer,360465.0,Intel,No,16,4,3.1,LCD,NVIDIA,1024.0,0,Large,High-end,Other,3.0
Hp,218715.0,Intel,No,8,4,4.2,LCD,Intel,512.0,0,Small,Low-end,Other,4.0
Asus,62965.0,Intel,No,4,4,1.1,LCD,Intel,128.0,0,Large,Entry-level,Low-End,1.0
Hp,193900.0,Intel,No,8,4,2.7,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Lenovo,97965.0,AMD,Yes,8,5,2.4,LCD,AMD,512.0,0,Large,Entry-level,Low-End,2.5
Lenovo,213465.0,Intel,Yes,8,4,2.5,LED,NVIDIA,256.0,1024,Large,Mid-end,Other,2.5
Hp,213150.0,Intel,Yes,16,4,4.2,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,4.0
Hp,156800.0,AMD,No,16,4,4.0,LCD,AMD,512.0,0,Large,Entry-level,Mid-End,4.0
Hp,171465.0,AMD,Yes,16,4,4.2,LCD,AMD,512.0,0,Large,Entry-level,High-End,4.0
Acer,80146.5,AMD,Yes,4,4,2.6,LCD,AMD,256.0,0,Small,Entry-level,Other,2.5
Asus,206465.0,AMD,Yes,16,4,4.2,LCD,AMD,512.0,0,Large,Entry-level,High-End,4.0
Acer,423430.0,Intel,Yes,16,5,2.7385892116182573,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Hp,259875.0,Intel,Yes,8,4,4.7,LCD,Intel,512.0,0,Large,Low-end,Other,4.5
Hp,238700.0,Intel,Yes,8,4,3.1,LED,NVIDIA,256.0,1024,Large,Mid-end,Other,3.0
Other,55965.0,Intel,Yes,4,4,2.8,LCD,Intel,128.0,0,Medium,Entry-level,Low-End,3.0
Asus,199846.5,Intel,Yes,8,4,4.2,LED,Intel,256.0,1024,Small,Low-end,Other,4.0
Msi,150465.0,Intel,No,16,4,3.3,LCD,Intel,512.0,0,Small,Low-end,Other,3.5
Hp,209965.0,Intel,No,8,4,2.4,LED,Intel,512.0,0,Small,Low-end,Other,2.5
Lenovo,169438.5,Intel,Yes,8,4,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,3.5
Asus,260750.0,Intel,No,16,4,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,3.5
Other,73465.0,Intel,Yes,4,4,2.8,LCD,Intel,128.0,0,Medium,Entry-level,Low-End,3.0
Acer,241465.0,Intel,Yes,8,4,4.2,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,4.0
Msi,250215.0,Intel,Yes,8,4,2.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Hp,124250.0,Intel,Yes,8,4,4.0,LCD,Intel,512.0,0,Large,Entry-level,Other,4.0
Acer,227465.0,Intel,No,16,4,4.2,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,4.0
Msi,244965.0,Intel,No,16,4,2.5,LED,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Msi,222470.5,Intel,No,16,4,2.7385892116182573,LED,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Lenovo,127050.0,Intel,No,8,4,3.3,LCD,Intel,512.0,0,Large,Entry-level,Other,3.5
Hp,194215.0,AMD,Yes,8,4,4.2,LCD,AMD,512.0,0,Large,Entry-level,Mid-End,4.0
Acer,111965.0,Intel,Yes,8,4,3.3,LCD,Intel,512.0,0,Large,Entry-level,Other,3.5
Dell,160965.0,Intel,Yes,8,4,3.3,LCD,Intel,512.0,0,Large,Entry-level,Other,3.5
Other,132996.5,Intel,No,8,4,1.7,LCD,Intel,512.0,0,Large,Low-end,Other,1.5
Other,104965.0,Intel,No,16,4,2.4,LCD,Intel,512.0,0,Large,Low-end,Other,2.5
Lenovo,182350.0,AMD,No,16,4,1.8,LED,AMD,512.0,0,Large,Entry-level,High-End,2.0
Lenovo,125965.0,Intel,No,8,4,3.0,LED,Intel,512.0,0,Large,Entry-level,Other,3.0
Other,146965.0,AMD,Yes,8,4,2.1,LCD,AMD,512.0,0,Small,Entry-level,Mid-End,2.0
Apple,524650.0,Apple,No,8,5,3.49,LCD,Apple,512.0,0,Small,High-end,Apple M-series,3.5
