Price,RAM_Expandable,RAM,RAM_TYPE(DDR),Display_type,Processor_Tier,Processor_Speed(Ghz),Display_Tier,GPU_Tier,SSD(GB),HDD(GB),Brand_Acer,Brand_Apple,Brand_Dell,Brand_HP,Brand_Lenovo,Brand_MSI,Brand_Other,Brand_Samsung,Processor_Apple,Processor_Intel,GPU_Apple,GPU_Intel,GPU_NVIDIA
143290.0,0,4,4,1,0.0,2.0,1,1,0,1024,False,False,False,False,True,False,False,False,False,True,False,True,False
216646.5,1,16,4,0,2.0,4.0,2,1,512,0,False,False,False,False,False,False,False,False,False,False,False,False,False
164465.0,1,8,4,0,1.0,3.5,2,2,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
237965.0,0,16,4,1,2.0,3.0,3,3,512,0,False,False,False,False,False,False,False,False,False,False,False,False,True
176046.5,1,8,4,1,1.0,2.5,2,2,512,0,False,False,False,True,False,False,False,False,False,True,False,True,False
202965.0,1,16,4,0,1.0,3.5,2,2,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
195965.0,1,8,4,1,1.0,4.5,2,3,512,0,False,False,False,False,False,False,False,False,False,True,False,False,True
167996.5,0,8,4,0,1.0,1.0,1,1,512,0,False,False,False,False,False,False,True,False,False,True,False,True,False
129115.0,0,8,4,0,0.0,4.0,1,1,256,0,False,False,False,False,True,False,False,False,False,True,False,True,False
182647.5,0,8,4,1,0.0,4.0,1,1,256,0,False,False,False,True,False,False,False,False,False,True,False,True,False
77248.5,0,4,4,1,0.0,1.0,2,1,0,1024,False,False,False,True,False,False,False,False,False,True,False,True,False
139650.0,1,8,4,0,0.0,1.5,1,1,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
188996.5,1,8,4,1,1.0,3.5,3,3,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
132965.0,0,8,4,0,0.0,2.0,2,1,512,0,False,False,True,False,False,False,False,False,False,True,False,True,False
174965.0,0,16,4,0,1.0,3.5,2,3,512,0,True,False,False,False,False,False,False,False,False,True,False,False,True
153996.5,0,8,4,1,0.0,3.5,1,1,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
138068.0,1,8,4,0,0.0,3.0,2,1,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
171465.0,0,8,4,0,1.0,3.5,2,3,512,0,True,False,False,False,False,False,False,False,False,True,False,False,True
209300.0,1,8,4,0,1.0,4.0,2,2,512,0,False,False,False,True,False,False,False,False,False,True,False,True,False
122850.0,0,8,4,1,0.0,3.0,2,1,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
196224.0,0,8,4,1,1.0,3.0,2,3,512,0,False,False,False,True,False,False,False,False,False,False,False,False,True
129465.0,1,8,4,0,0.0,1.0,2,1,512,0,False,False,True,False,False,False,False,False,False,True,False,True,False
202965.0,0,16,4,0,1.0,3.5,2,1,512,0,True,False,False,False,False,False,False,False,False,True,False,False,True
