Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE,Processer_speed,Display_type,GPU_Brand,SSD(GB),HDD(GB),Processor_Series,Processor_Tier,Display_Category,GPU_Tier
ASUS,118300.0,Intel,Yes,8,DDR4,4.0,LED,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
HP,197715.0,AMD,Yes,8,DDR4,4.2,LCD,AMD,512,0,AMD Ryzen 5,Mid-End,Medium,Low-end
Other,139965.0,AMD,Yes,8,DDR4,2.1,LCD,AMD,256,0,AMD Ryzen 5,Mid-End,Medium,Low-end
Lenovo,214515.0,Intel,No,16,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Lenovo,251996.5,Intel,No,8,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
ASUS,201250.0,Intel,Yes,8,DDR4,4.7,LCD,NVIDIA,1024,0,Intel Core I5,Mid-End,Medium,Mid-end
ASUS,132965.0,Intel,Yes,8,DDR4,3.0,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Dell,126000.0,Intel,Yes,8,DDR4,1.2,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
ASUS,359971.5,AMD,No,16,DDR4,3.3,LCD,NVIDIA,512,0,AMD Ryzen 9,High-End,Large,Mid-end
ASUS,122496.5,Intel,No,16,DDR4,3.0,LCD,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
ASUS,107765.0,Intel,No,8,DDR4,3.0,LCD,Intel,0,1024,Intel Core I3,Low-End,Medium,Entry-level
Acer,169746.5,Intel,No,8,DDR4,4.2,LED,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Dell,169746.5,Intel,Yes,8,DDR4,2.4,LED,Intel,256,0,Intel Core I5,Mid-End,Medium,Entry-level
ASUS,111965.0,Intel,No,8,DDR4,3.0,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
ASUS,139965.0,Intel,No,8,DDR4,4.7,LCD,Intel,512,0,Intel Core I3,Low-End,Large,Entry-level
Lenovo,209965.0,Intel,No,8,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
HP,240100.0,Intel,No,16,DDR4,4.2,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
HP,224448.0,AMD,Yes,16,DDR4,3.3,LCD,AMD,512,0,AMD Ryzen 5,Mid-End,Medium,Low-end
HP,216996.5,AMD,Yes,8,DDR4,4.2,LED,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Medium,Mid-end
ASUS,290150.0,Intel,Yes,16,DDR5,2.0,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
Lenovo,115465.0,Intel,No,4,DDR4,3.0,LED,Intel,256,0,Intel Core I3,Low-End,Medium,Entry-level
HP,264565.0,Intel,No,16,DDR4,2.5,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
HP,260715.0,Intel,No,16,DDR4,4.7,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
ASUS,139965.0,Intel,Yes,8,DDR4,4.2,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
ASUS,118965.0,Intel,Yes,8,DDR4,1.2,LCD,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
HP,192496.5,Intel,Yes,8,DDR4,4.7,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Dell,171465.0,AMD,Yes,8,DDR4,2.1,LCD,Intel,512,0,AMD Ryzen 5,Mid-End,Medium,Entry-level
Lenovo,216965.0,Intel,Yes,16,DDR5,2.0,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
HP,183015.0,Intel,Yes,8,DDR4,4.7,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Lenovo,307615.0,Intel,No,16,DDR5,3.3,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,High-end
HP,124215.0,Intel,Yes,8,DDR4,4.0,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
MSI,269465.0,Intel,No,16,DDR4,3.3,LCD,NVIDIA,256,1024,Intel Core I5,Mid-End,Medium,Mid-end
ASUS,272996.5,Intel,No,16,DDR4,4.7,LED,Intel,512,0,Intel Core I7,Upper Mid-End,Small,Entry-level
Dell,106872.5,Intel,Yes,4,DDR4,1.2,LED,Intel,0,1024,Intel Core I3,Low-End,Medium,Entry-level
Lenovo,115496.5,AMD,Yes,8,DDR4,2.6,LCD,AMD,512,0,AMD Ryzen 3,Low-End,Medium,Low-end
ASUS,385224.0,AMD,Yes,16,DDR5,4.7,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Large,Mid-end
ASUS,109865.0,Intel,No,8,DDR4,1.2,LCD,Intel,256,0,Intel Core I3,Low-End,Medium,Entry-level
HP,254201.5,Intel,Yes,16,DDR4,4.2,LCD,NVIDIA,1024,0,Intel Core I5,Mid-End,Medium,Mid-end
ASUS,244965.0,AMD,No,16,DDR4,4.7,LED,AMD,512,0,AMD Ryzen 7,Upper Mid-End,Small,Low-end
Lenovo,104300.0,Intel,No,4,DDR4,1.1,LED,Intel,128,0,Intel Celeron,Low-End,Small,Entry-level
Lenovo,258965.0,Intel,No,16,DDR4,1.3,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
HP,190715.0,Intel,Yes,8,DDR4,4.2,LCD,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
HP,230646.5,AMD,No,16,DDR4,2.1,LED,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Small,Low-end
Other,272132.0,Intel,No,16,DDR5,2.0,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Lenovo,227465.0,AMD,Yes,16,DDR5,3.3,LCD,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Medium,Mid-end
HP,144476.5,AMD,No,8,DDR4,2.1,LED,AMD,512,0,AMD Ryzen 5,Mid-End,Small,Low-end
HP,262465.0,Intel,No,16,DDR4,4.7,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Dell,262496.5,Intel,Yes,8,DDR4,1.3,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Low-end
Dell,131250.0,AMD,Yes,8,DDR4,2.6,LCD,AMD,256,1024,AMD Ryzen 3,Low-End,Medium,Entry-level
Other,294364.0,Intel,Yes,16,DDR5,2.0,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Small,Low-end
MSI,146965.0,AMD,Yes,8,DDR4,4.2,LCD,AMD,512,0,AMD Ryzen 7,Upper Mid-End,Medium,Low-end
Lenovo,244961.5,Intel,No,16,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Dell,138215.0,Intel,Yes,8,DDR4,1.7,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
ASUS,143465.0,Intel,Yes,8,DDR4,1.0,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Lenovo,211844.5,Intel,No,16,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
HP,192465.0,AMD,Yes,8,DDR4,4.2,LCD,AMD,512,0,AMD Ryzen 5,Mid-End,Medium,Low-end
HP,109543.0,Intel,Yes,8,DDR4,3.0,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
HP,169750.0,AMD,Yes,8,DDR4,4.2,LCD,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Medium,Mid-end
ASUS,220465.0,Intel,Yes,16,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Dell,134074.5,AMD,Yes,8,DDR4,3.4,LCD,AMD,256,0,AMD Ryzen 3,Low-End,Medium,Low-end
MSI,297465.0,Intel,No,8,DDR4,4.7,LCD,NVIDIA,512,0,Intel Core I7,Upper Mid-End,Medium,Mid-end
Lenovo,245000.0,Intel,No,8,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Lenovo,150465.0,AMD,Yes,8,DDR4,2.0,LCD,AMD,512,0,AMD Ryzen 7,Upper Mid-End,Medium,Low-end
Other,80465.0,Intel,No,8,DDR4,2.4,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Other,244965.0,Intel,No,16,DDR4,2.4,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Lenovo,135800.0,Intel,No,4,DDR4,1.0,LED,Intel,0,1024,Intel Core I3,Low-End,Small,Entry-level
HP,139965.0,Intel,Yes,8,DDR4,3.3,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
ASUS,118965.0,Intel,Yes,8,DDR4,3.4,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Other,258965.0,Intel,No,16,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Lenovo,136454.5,AMD,No,8,DDR4,2.1,LED,AMD,512,0,AMD Ryzen 5,Mid-End,Medium,Low-end
Lenovo,307965.0,Intel,No,16,DDR4,3.4,LCD,Intel,512,0,Intel Core I7,Upper Mid-End,Medium,Entry-level
HP,90965.0,AMD,Yes,8,DDR4,2.6,LCD,AMD,512,0,AMD Ryzen 3,Low-End,Small,Low-end
ASUS,257250.0,Intel,No,16,DDR4,3.3,LED,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
ASUS,279965.0,Intel,Yes,16,DDR4,2.6,LCD,Intel,512,0,Intel Core I9,High-End,Large,Entry-level
Dell,138950.0,Intel,Yes,8,DDR4,1.2,LED,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
HP,257946.5,Intel,No,8,DDR4,4.2,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
MSI,313215.0,Intel,Yes,16,DDR4,4.7,LCD,NVIDIA,1024,0,Intel Core I5,Mid-End,Medium,Mid-end
Lenovo,292250.0,Intel,No,16,DDR4,2.8,LED,Intel,512,0,Intel Core I7,Upper Mid-End,Small,Entry-level
ASUS,332465.0,Intel,Yes,16,DDR4,2.6,LCD,Intel,512,0,Intel Core I9,High-End,Large,Entry-level
Lenovo,360465.0,AMD,Yes,16,DDR5,3.1,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Large,Mid-end
HP,332601.5,Intel,No,16,DDR4,4.7,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
HP,104296.5,Intel,No,8,DDR4,3.3,LCD,Intel,512,0,Intel Pentium,Low-End,Small,Entry-level
Dell,253746.5,Intel,No,8,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
ASUS,349965.0,Intel,Yes,16,DDR4,2.5,LCD,NVIDIA,512,0,Intel Core I9,High-End,Large,Mid-end
MSI,304241.0,Intel,Yes,16,DDR4,4.7,LCD,NVIDIA,512,0,Intel Core I7,Upper Mid-End,Large,Mid-end
Dell,187215.0,Intel,Yes,8,DDR4,4.7,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
